iter	Passed	Remaining
858	1893	310
859	1895	308
860	1897	306
861	1899	304
862	1901	301
863	1903	299
864	1905	297
865	1907	295
866	1910	293
867	1912	290
868	1915	288
869	1918	286
870	1920	284
871	1923	282
872	1925	280
873	1928	278
874	1931	275
875	1934	273
876	1936	271
877	1939	269
878	1941	267
879	1943	265
880	1945	262
881	1947	260
882	1949	258
883	1951	256
884	1953	253
885	1955	251
886	1957	249
887	1960	247
888	1962	245
889	1964	242
890	1966	240
891	1968	238
892	1970	236
893	1972	233
894	1975	231
895	1977	229
896	1979	227
897	1980	225
898	1982	222
899	1984	220
900	1986	218
901	1988	216
902	1991	213
903	1993	211
904	1995	209
905	1997	207
906	1999	204
907	2001	202
908	2003	200
909	2005	198
910	2007	196
911	2009	193
912	2011	191
913	2014	189
914	2016	187
915	2019	185
916	2021	182
917	2024	180
918	2026	178
919	2028	176
920	2031	174
921	2033	172
922	2035	169
923	2038	167
924	2041	165
925	2043	163
926	2045	161
927	2047	158
928	2049	156
929	2051	154
930	2052	152
931	2055	150
932	2058	147
933	2059	145
934	2061	143
935	2063	141
936	2065	138
937	2067	136
938	2069	134
939	2071	132
940	2073	129
941	2074	127
942	2076	125
943	2078	123
944	2080	121
945	2082	118
946	2085	116
947	2087	114
948	2089	112
949	2092	110
950	2094	107
951	2096	105
952	2098	103
953	2100	101
954	2103	99
955	2105	96
956	2107	94
957	2109	92
958	2112	90
959	2114	88
960	2117	85
961	2119	83
962	2121	81
963	2124	79
964	2126	77
965	2128	74
966	2130	72
967	2132	70
968	2134	68
969	2136	66
970	2138	63
971	2140	61
972	2142	59
973	2144	57
974	2146	55
975	2148	52
976	2150	50
977	2152	48
978	2155	46
979	2157	44
980	2159	41
981	2162	39
982	2164	37
983	2166	35
984	2169	33
985	2172	30
986	2174	28
987	2176	26
988	2178	24
989	2180	22
990	2181	19
991	2183	17
992	2185	15
993	2188	13
994	2191	11
995	2193	8
996	2195	6
997	2198	4
998	2200	2
999	2202	0
